Meter Number,Customer Account Number,Port,Channel,Conversion Factor,Data Type,Start Date,Start Time,InvertalValue,InevertalHour,QCCode
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4500,5,0003.4500
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4169,6,0003.4169
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4380,7,0003.4380
11415959,2561601,0,0,.096,KWH,101017,00:00,0003.7440,14,0003.7440
16543093,258401,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,12,0003.4560
16543093,258401,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,13,0003.7120
14973781,2586400,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,10,0003.0720
3814272,2636170,0,0,.0576,KWH,101017,00:00,0003.4560,6,0003.4560
15254668,2641401,0,0,.0576,KWH,101017,00:00,0003.0528,12,0003.0528
3814877,2659400,0,0,.0576,KWH,101017,00:00,0003.0528,14,0003.0528
7303181,2671300,0,0,.0576,KWH,101017,00:00,0003.9744,7,0003.9744
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.4560,3,0003.4560
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.3600,4,0003.3600
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.4560,5,0003.4560
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.4560,7,0003.4560
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.6480,8,0003.6480
11415925,2675002,0,0,.096,KWH,101017,00:00,0003.8400,9,0003.8400
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.0528,10,0003.0528
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.1680,11,0003.1680
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.2832,12,0003.2832
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.3984,13,0003.3984
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.6288,14,0003.6288
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.2256,2,0003.2256
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.1680,6,0003.1680
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.5136,7,0003.5136
3918306,2676601,0,0,.0576,KWH,101017,00:00,0003.9168,8,0003.9168
14262360,2685701,0,0,.096,KWH,101017,00:00,0003.3600,12,0003.3600
15115128,2703101,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,11,0003.7120
15115128,2703101,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,14,0003.8400
15115128,2703101,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,9,0003.0720
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,1,0003.5840
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,11,0003.3280
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,2,0003.0720
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,5,0003.3280
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,6,0003.3280
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,7,0003.0720
16542277,271503,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,9,0003.7120
3921582,2716800,0,0,.0576,KWH,101017,00:00,0003.4560,1,0003.4560
3921582,2716800,0,0,.0576,KWH,101017,00:00,0003.2256,14,0003.2256
3921582,2716800,0,0,.0576,KWH,101017,00:00,0003.5712,9,0003.5712
3922709,2725900,0,0,.0576,KWH,101017,00:00,0003.0528,10,0003.0528
33844856,2729100,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,8,0003.3280
16896850,2734202,0,0,.0576,KWH,101017,00:00,0003.0528,4,0003.0528
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,10,0003.3280
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,11,0003.5840
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,12,0003.5840
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,14,0003.5840
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,2,0003.1690
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,6,0003.5840
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,7,0003.1690
15103298,2741005,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,9,0003.8400
3920333,277600,0,0,.0576,KWH,101017,00:00,0003.6288,11,0003.6288
3920333,277600,0,0,.0576,KWH,101017,00:00,0003.7440,4,0003.7440
16807782,303601,0,0,.096,KWH,101017,00:00,0003.2640,1,0003.2640
11415961,319000,0,0,.096,KWH,101017,00:00,0003.8400,13,0003.8400
15253981,320801,0,0,.0576,KWH,101017,00:00,0003.2256,10,0003.2256
33588046,321400,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,14,0003.1690
13317326,334902,0,0,.0576,KWH,101017,00:00,0003.2832,12,0003.2832
33845646,345600,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,10,0003.3280
33845646,345600,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,14,0003.4560
15118001,345900,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
20544534,35400,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,4,0003.5840
3814956,392102,0,0,.0576,KWH,101017,00:00,0003.2832,1,0003.2832
15113325,39713,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,8,0003.0720
15113325,39713,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,9,0003.5840
3815029,411001,0,0,.0576,KWH,101017,00:00,0003.9744,8,0003.9744
13922291,412601,0,0,.096,KWH,101017,00:00,0003.6480,12,0003.6480
3164986,442300,0,0,.0576,KWH,101017,00:00,0003.3408,2,0003.3408
35212846,453303,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,5,0003.0720
3922589,491401,0,0,.0576,KWH,101017,00:00,0003.0528,10,0003.0528
3813816,502303,0,0,.0576,KWH,101017,00:00,0003.9744,1,0003.9744
3813816,502303,0,0,.0576,KWH,101017,00:00,0003.5136,2,0003.5136
13317303,502700,0,0,.0576,KWH,101017,00:00,0003.1104,13,0003.1104
11043734,533702,0,0,.0576,KWH,101017,00:00,0003.5712,14,0003.5712
13089106,537302,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.7760,12,0003.7760
13089106,537302,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.9040,14,0003.9040
13128810,548401,0,0,.0576,KWH,101017,00:00,0003.1104,9,0003.1104
15104796,572702,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,8,0003.3280
15104796,572702,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,9,0003.5840
3919673,593101,0,0,.0576,KWH,101017,00:00,0003.0528,8,0003.0528
3964225,596100,0,0,.0576,KWH,101017,00:00,0003.1104,2,0003.1104
3510832,606502,0,0,.0576,KWH,101017,00:00,0003.3408,8,0003.3408
14094452,691403,0,0,.096,KWH,101017,00:00,0003.1680,11,0003.1680
14094452,691403,0,0,.096,KWH,101017,00:00,0003.5520,9,0003.5520
18269569,705900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,11,0003.0720
18277726,712601,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,10,0003.3280
16500663,715802,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
11044496,747901,0,0,.0576,KWH,101017,00:00,0003.1680,10,0003.1680
11415951,747901,0,0,.096,KWH,101017,00:00,0003.7440,12,0003.7440
3228477,758101,0,0,.0576,KWH,101017,00:00,0003.9168,9,0003.9168
15106029,761304,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,11,0003.1690
15106029,761304,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,13,0003.4560
15106029,761304,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,14,0003.8400
13129523,792101,0,0,.0576,KWH,101017,00:00,0003.2256,10,0003.2256
3228045,844001,0,0,.0576,KWH,101017,00:00,0003.2256,7,0003.2256
3814998,866401,0,0,.0576,KWH,101017,00:00,0003.5136,7,0003.5136
3814998,866401,0,0,.0576,KWH,101017,00:00,0003.5712,8,0003.5712
11415903,868202,0,0,.096,KWH,101017,00:00,0003.7440,7,0003.7440
15023950,88400,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,10,0003.1690
34868211,886302,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,12,0003.0720
34868211,886302,0,1,.128,Signed Net in Watts,101017,00:00,0003.9680,14,0003.9680
34868211,886302,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,9,0003.4560
15254064,89704,0,0,.0576,KWH,101017,00:00,0003.9168,12,0003.9168
15254064,89704,0,0,.0576,KWH,101017,00:00,0003.1680,9,0003.1680
33851147,922169,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,11,0003.1690
33851147,922169,0,1,.128,Signed Net in Watts,101017,00:00,0003.9680,8,0003.9680
16543799,942603,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,7,0003.4560
